"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","batting_avg","on_base_plus_slg","b_gnd_into_dp","woba","avg_swing_speed","fast_swing_rate","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","whiff_percent","pull_percent","groundballs_percent"
"Cabrera, Miguel",408234,2023,40,370,4,20,8.4,".257","0.675","11",".299","68.3",0.7,"7.4",34.2,4.2,37.6,"98.972070682",25.6,35.7,49.8
"Peralta, David",444482,2023,35,422,7,17.1,4.7,".259","0.675","8",".290","72.1",24.5,"8.2",31.1,4.9,44.2,"100.838135399",22.5,38.4,49.1
"Blackmon, Charlie",453568,2023,36,413,8,13.3,9.4,".279","0.803","6",".350","66.9",1.6,"18.1",39,4.9,31.5,"97.605451688",19.6,45.5,36.4
"Maldonado, Martín",455117,2023,36,407,15,34.2,7.4,".191","0.606","10",".266","71.8",15.6,"18.1",32.8,8.5,40,"99.511383636",34.3,46,38.7
"Solano, Donovan",456781,2023,35,450,5,22.2,8.9,".282","0.760","8",".338","68.2",6.3,"13.1",43.1,6.1,43.7,"100.102935676",25.4,34.2,41
"McCutchen, Andrew",457705,2023,36,473,12,21.1,15.9,".256","0.775","8",".345","71.8",16.7,"12.3",33.7,6.8,44.6,"100.329192449",27.4,48.3,42.9
"Turner, Justin",457759,2023,38,626,23,17.6,8.1,".276","0.800","10",".346","66.4",0.5,"16.5",36.8,5.7,39,"98.567368238",17.5,37.9,35.7
"Andrus, Elvis",462101,2023,34,406,6,17.5,6.2,".251","0.662","11",".290","68.4",7.4,"5.5",28.1,2.6,31,"97.859729735",20.1,38.9,55.9
"Santana, Carlos",467793,2023,37,619,23,16.8,10.5,".240","0.747","11",".323","71.4",14,"12.8",31.3,6.7,36.4,"99.367236",22.1,47.1,43.3
"Belt, Brandon",474832,2023,35,404,19,34.9,15.1,".254","0.859","5",".369","72.7",17,"19.8",44.5,15,40,"100.691962551",32.5,41,31
"Gurriel, Yuli",493329,2023,39,329,4,13.4,7.9,".245","0.663","13",".287","70.7",7.8,"16.5",32.2,1.9,34.9,"97.568536744",16,39.5,40.7
"Rojas, Miguel",500743,2023,34,423,5,11.3,6.1,".236","0.612","12",".271","68.8",7.4,"11",33.4,2.9,32,"97.505333176",16.5,33.4,46.2
"Escobar, Eduardo",500871,2023,34,309,6,25.2,5.8,".226","0.613","7",".267","68.3",2.4,"14.4",30.5,3.8,30.6,"96.536556538",28.3,44.1,43.7
"Pham, Tommy",502054,2023,35,481,16,22,9.8,".256","0.774","11",".332","73.8",42.2,"5.7",34.4,10.7,49.1,"103.076305767",23.6,37.4,48.5
"Martinez, J.D.",502110,2023,35,479,33,31.1,7.1,".271","0.893","11",".369","73",27.9,"16.9",41.1,17.1,55.1,"103.470071027",34.4,37.7,35.6
"Goldschmidt, Paul",502671,2023,35,687,25,23.4,12.7,".268","0.810","12",".350","72.1",18.7,"12.8",35.6,12,50.8,"102.40959555",27.5,31.5,41.4
"Altuve, Jose",514888,2023,33,410,17,17.3,10.7,".311","0.915","9",".393","70.5",16.3,"11.4",29.7,8.3,31.4,"97.888341268",18.7,45.2,49.3
"Segura, Jean",516416,2023,33,326,3,14.4,6.7,".219","0.556","12",".250","70",8.3,"2.9",22.4,3.5,38.8,"99.845816452",19.2,29.8,59.2
"Marte, Starling",516782,2023,34,341,5,20.2,4.7,".248","0.625","8",".278","70.6",12.5,"6.3",30.6,5.7,39.5,"100.135976281",27.8,35.9,53.2
"d'Arnaud, Travis",518595,2023,34,292,11,22.9,7.2,".225","0.685","6",".297","72.2",22.1,"10.3",37.8,9,42.8,"101.038586",28.6,38.8,42.3
"Freeman, Freddie",518692,2023,33,730,29,16.6,9.9,".331","0.977","14",".411","70.5",11.4,"15.2",46.6,11.2,42.2,"100.590638269",20.4,35.3,35.9
"Grandal, Yasmani",518735,2023,34,405,8,21.2,8.9,".234","0.648","11",".288","70.7",9.5,"10.8",32.3,4.7,34.4,"98.280329643",24.9,36.2,45.2
"Heyward, Jason",518792,2023,33,377,15,17,9,".269","0.813","7",".348","73.8",36.8,"15.4",33,8.1,37.4,"99.253685693",20.7,45.4,41.8
"LeMahieu, DJ",518934,2023,34,562,15,22.2,10.7,".243","0.717","14",".315","68.3",4.1,"3.8",31.6,5.9,43,"100.265359786",19.7,31.8,55.6
"Moustakas, Mike",519058,2023,34,386,12,24.6,6,".247","0.685","7",".294","71.5",24.9,"18",28.3,5.7,37.9,"99.28083626",27.3,39.6,34.3
"Rizzo, Anthony",519203,2023,33,421,12,23,8.3,".244","0.706","10",".312","68.8",6.1,"17.8",41.2,6.9,37.5,"99.161259855",25,41.5,33.9
"Stanton, Giancarlo",519317,2023,33,415,24,29.9,9.9,".191","0.695","11",".297","81",96.6,"12.5",27.4,15.8,48.4,"106.135021532",34.1,39.9,42.7
"Perez, Salvador",521692,2023,33,580,23,23.3,3.3,".255","0.714","11",".302","72.8",29.3,"15.6",38,8.8,44,"101.357412537",30.2,39.7,36
"Flores, Wilmer",527038,2023,31,454,23,13.9,9,".284","0.864","13",".368","67.6",2.8,"22",36.2,7.9,32.5,"97.399441744",15.8,44.9,31.9
"Bethancourt, Christian",542194,2023,31,332,11,27.4,3.9,".225","0.635","6",".271","72.6",24,"11.3",28.5,7.9,40.8,"99.662215893",36.6,46.9,49.6
"Ozuna, Marcell",542303,2023,32,592,40,22.6,9.6,".274","0.904","9",".381","75",53.2,"15.6",34.9,16.7,49,"103.257673232",26.7,42.5,39.9
"Berti, Jon",542932,2023,33,424,7,18.2,6.8,".294","0.749","10",".325","72.4",20.9,"2.4",29.7,4.8,31.3,"97.776931847",19.9,26.3,54.1
"Crawford, Brandon",543063,2023,36,320,7,25.3,8.8,".194","0.587","5",".260","71.5",16.4,"14",32.4,10.1,43,"99.565776078",29.6,38.6,43
"Cron, C.J.",543068,2023,33,278,12,23.4,6.1,".248","0.729","13",".312","73.6",48,"12.8",31.8,13.8,40,"101.506528673",28.3,41,43.1
"Gomes, Yan",543228,2023,35,419,10,19.3,5,".267","0.723","9",".312","69",8.1,"15.1",37,7.8,36.4,"98.498293636",24.2,30.5,37
"Grossman, Robbie",543257,2023,33,420,10,23.3,13.6,".238","0.734","8",".323","67.2",5,"20.2",32.3,6.8,37.3,"98.380623258",20.1,39.5,32.3
"Hicks, Aaron",543305,2023,33,312,8,22.1,13.5,".253","0.736","3",".326","66.9",1.7,"12.6",26.4,4,29.4,"96.660790808",25.6,43.8,47.8
"Higashioka, Kyle",543309,2023,33,260,10,28.5,5.4,".236","0.687","5",".293","72.5",25,"15.5",36.6,11,48.3,"101.070818721",28.6,50,40.1
"Semien, Marcus",543760,2023,32,753,29,14.6,9.6,".276","0.826","5",".354","68.8",5,"19.1",37.5,6.6,37,"98.08417844",18,46.9,34
"Springer, George",543807,2023,33,683,21,18.3,8.8,".258","0.732","20",".320","72.7",24.7,"12",32.2,7.8,39.9,"100.34851102",22.3,37.5,44.8
"Vázquez, Christian",543877,2023,32,355,6,23.1,7,".223","0.598","11",".264","66.6",1.7,"10",36,3.3,32.8,"96.86717918",26.2,30.8,42.9
"Wong, Kolten",543939,2023,32,250,4,21.2,7.2,".183","0.519","1",".236","70.4",5.3,"14",28.7,1.7,27,"96.00426619",21.7,45.4,46
"Vargas, Ildemaro",545121,2023,31,286,4,7,6.6,".252","0.667","10",".292","69.5",7.3,"4.1",26,2.4,31.3,"97.156948151",12.6,41.5,57.3
"Grichuk, Randal",545341,2023,31,471,16,20.4,6.2,".267","0.780","11",".333","74.6",50,"14",35,7.1,45.3,"101.490095235",26.7,44.7,40.9
"Trout, Mike",545361,2023,31,362,18,28.7,12.4,".263","0.857","4",".368","72.9",14.3,"19.3",38.3,16,51.9,"104.231780971",29.3,43.7,33.5
"Harper, Bryce",547180,2023,30,546,21,21.8,14.7,".293","0.900","10",".384","75.5",56,"9.1",36.8,15.2,46.8,"103.839812899",33.5,36.5,45.3
"Abreu, José",547989,2023,36,594,18,21.9,7.1,".237","0.679","16",".295","74.1",42.1,"10.8",32.5,8.7,41.6,"100.821833606",26.4,32.7,45
"Díaz, Elias",553869,2023,32,526,14,22.4,6.5,".267","0.725","12",".314","73.6",33.5,"12.7",31.2,6.2,38.4,"100.035107459",28.4,40.3,46.5
"Suárez, Eugenio",553993,2023,31,694,22,30.8,10.1,".232","0.714","10",".313","72.3",22.2,"18.9",37.7,13.2,43,"100.661115455",32.8,46.3,34.2
"Arenado, Nolan",571448,2023,32,612,26,16.5,6.7,".266","0.774","21",".327","71.3",15.3,"16.9",33,7.3,38.1,"99.311427863",20.2,46.9,38.8
